Date,pm2.5,pm10,O3,NO2,SO2,co,AQI,Dominant_Pollutant,Month,DayOfWeek,IsWeekend,season_Autumn,season_Monsoon,season_Spring,season_Summer,season_Winter,data_source
2025-06-24,17.48344427850505,51.004873470802536,17.799726016810133,26.15580007977637,9.381218778758512,0.2716205044866802,51,PM10,6,2,0,0,1,0,0,0,synthetic_clean_air_cpcb
2025-05-21,16.013510001004786,25.29951453866301,56.927635450787506,23.479319607312146,1.7897621063794036,0.8941986494935071,57,O3,5,3,0,0,0,0,1,0,synthetic_clean_air_cpcb
2025-07-16,26.229334346597796,49.57892916124622,29.993048585762775,2.2331880722506745,1.3228739505798206,0.6772521262842279,50,PM10,7,3,0,0,1,0,0,0,synthetic_clean_air_cpcb
2025-08-07,12.379768255490951,20.097961291475578,33.338144662398996,22.40673830799188,6.354467877740278,1.181553974387467,59,CO,8,2,0,0,1,0,0,0,synthetic_clean_air_cpcb
2025-08-20,10.138868452742495,17.09041624230088,25.230688458668535,33.31322272935999,14.518848463043831,0.9892370829281071,49,CO,8,1,0,0,1,0,0,0,synthetic_clean_air_cpcb
2025-05-02,12.676916776936421,38.17482234170017,29.55303037866204,22.12988970682649,12.6647287643063,0.29070111885854927,38,PM10,5,3,0,0,0,0,1,0,synthetic_clean_air_cpcb
2025-05-04,19.30561148168481,30.543861367730475,32.487706668488286,20.73411081805972,1.4383860943778202,1.0265132520544982,51,CO,5,5,1,0,0,0,1,0,synthetic_clean_air_cpcb
2025-08-15,25.524399237199066,58.180626287892565,26.266516538163216,4.9202525677133435,3.7437600738680326,0.14975001780159186,58,PM10,8,1,0,0,1,0,0,0,synthetic_clean_air_cpcb
2025-04-07,33.83455032946946,49.53715013027714,50.109849037701984,11.270838819683565,8.597745164215478,0.2550166474722389,56,PM2.5,4,0,0,0,0,0,1,0,synthetic_clean_air_cpcb
2025-06-27,19.242453305429308,36.088898850696395,45.5670976374325,11.685109765695257,1.1971175180111824,0.3187266444976856,46,O3,6,0,0,0,1,0,0,0,synthetic_clean_air_cpcb
2025-09-03,6.665607462427253,22.41957931875543,26.54490124263246,5.823678964329281,13.08344796225831,0.7856279395103136,39,CO,9,4,0,0,1,0,0,0,synthetic_clean_air_cpcb
2025-08-23,25.286720357478178,38.5283741471801,52.445691213304194,20.521033052974136,6.360976246553058,1.168883304928014,58,CO,8,1,0,0,1,0,0,0,synthetic_clean_air_cpcb
2025-04-04,31.754818478364196,51.56868636929592,15.394571349665222,19.250183369605804,6.985574257019695,0.1279610394185047,53,PM2.5,4,3,0,0,0,0,1,0,synthetic_clean_air_cpcb
2025-06-22,36.67239306133935,49.151159935805595,13.848995491439648,15.542636460175782,11.577715939602681,0.3516779820407847,61,PM2.5,6,2,0,0,1,0,0,0,synthetic_clean_air_cpcb
