Date,pm2.5,pm10,O3,NO2,SO2,co,AQI,Dominant_Pollutant,Month,DayOfWeek,IsWeekend,season_Autumn,season_Monsoon,season_Spring,season_Summer,season_Winter,data_source
2025-06-07,27.470359111497856,48.38523149879352,47.93086008490728,31.008100007331524,8.55828523368718,0.718502337272593,48,PM10,6,6,1,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-06-15,36.057116725913744,65.04828720782399,27.987139293382064,30.145392217102458,6.414887259621329,0.9276780904263572,65,PM10,6,4,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-09-27,24.250240240723734,34.53059790745522,12.962360800026238,23.13109253052734,2.6364887170432025,0.9583188405233333,48,CO,9,3,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-04-20,10.185713531212148,16.80534525835604,56.37953586644913,7.084652258293177,8.153585727071604,0.11657800148133994,56,O3,4,5,1,0,0,0,1,0,multivariate_gaussian_copula_clean_air_v2
2025-07-20,13.96502823143524,27.539992151535014,15.71014031505646,26.82543520283494,4.840788800060602,0.6751367666420451,34,CO,7,2,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-06-02,13.305280612656274,35.27484756761722,31.102778983436167,6.434040253057281,11.20754668433314,0.1967560234927358,35,PM10,6,6,1,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-09-02,23.812569686504936,33.72093840803372,16.07531490907394,28.386555742545198,11.529804421425649,0.9576392655612508,48,CO,9,4,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-09-06,19.434832028384218,34.400365162647304,13.611469151616456,18.3574134312694,4.559305278718819,1.0553622595433745,53,CO,9,2,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-06-09,25.570732739134897,37.12503352660271,44.09894799659215,14.040131861628705,4.270956343610048,0.7797523608396367,44,O3,6,1,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-04-09,32.85680225672608,60.711218864480855,20.71014754441596,22.742618355237525,9.622247027721647,1.127211988271902,61,PM10,4,5,1,0,0,0,1,0,multivariate_gaussian_copula_clean_air_v2
2025-06-27,14.74084955935185,27.40945675278317,16.420760453656577,10.217930746551124,10.68859098649121,1.0210378168349452,51,CO,6,3,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-07-04,20.024095499444456,42.02173829238131,40.611642534878825,9.411756227131423,9.460730085138321,0.9913254914442468,50,CO,7,1,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-04-26,20.514158193124214,45.17257824366901,10.169054465837124,33.79452985460837,8.746629352066602,1.0402395948817444,52,CO,4,2,0,0,0,0,1,0,multivariate_gaussian_copula_clean_air_v2
2025-04-21,22.24290215847347,31.399590826266408,33.46855877198515,24.517037820530245,14.02914021524262,0.5775305867997111,37,PM2.5,4,1,0,0,0,0,1,0,multivariate_gaussian_copula_clean_air_v2
2025-06-19,11.119710282176985,20.38636160538236,50.27274668192749,14.62897812720744,5.493307449664658,0.521195187304763,50,O3,6,5,1,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-08-24,22.31469823571301,45.39810442297319,21.3069161667622,18.746776564680637,5.528497460728815,0.3151701121933377,45,PM10,8,2,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-09-02,24.958650103716835,46.24474758378204,35.345939575790155,16.691151851059832,2.1052773351662175,0.5163794933102852,46,PM10,9,3,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-09-13,16.440825093543616,27.381681832892895,32.19504272894763,23.053986397044383,14.586383835679078,0.7424343152586431,37,CO,9,0,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-07-17,24.45518334849291,43.73784211716152,11.52260352606428,28.637593512006536,7.873068263045383,1.1965704508190438,60,CO,7,0,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-08-07,18.406810938084043,35.86036524215664,33.53059272115211,6.816132167814961,12.42874743619202,0.767275460868093,38,CO,8,3,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-04-04,30.708269064425426,50.124488786862045,56.86299543648478,3.8108391522498324,10.238819966557699,1.0524618065152158,57,O3,4,0,0,0,0,0,1,0,multivariate_gaussian_copula_clean_air_v2
2025-06-10,9.472504735126417,17.649668702447403,35.74788811660739,9.844226078768095,1.670667951053126,0.38110783888804045,36,O3,6,0,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-07-13,8.897663093316918,20.315766294381717,17.33755129284297,32.630959358756925,4.955430650916518,0.6534883598660123,41,NO2,7,0,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-09-06,30.929333157712108,48.858976935846016,42.56710293701911,31.624425044055634,2.3424342628951886,0.9066177725656354,52,PM2.5,9,1,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-09-10,24.485778878933747,47.8995766842461,15.246411329674917,11.412416919570374,9.320701824137153,0.8802493804744187,48,PM10,9,0,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-05-22,24.362494037317543,45.70584913281154,22.52249018154282,25.369597895605644,9.734295236755726,0.6172721354157353,46,PM10,5,2,0,0,0,0,1,0,multivariate_gaussian_copula_clean_air_v2
2025-05-20,36.94476036245598,66.11439321068667,17.60355800749752,32.94734640968751,3.999602150843158,1.1771998041008556,66,PM10,5,2,0,0,0,0,1,0,multivariate_gaussian_copula_clean_air_v2
2025-06-25,33.807441779440445,56.54974046292892,53.504262797102285,21.79816648755033,12.683411045745203,1.1504991906609272,58,CO,6,4,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-07-15,17.704650807069953,29.514114743755368,19.778662592510507,13.751956306534574,6.412652809373661,0.7652535312158271,38,CO,7,6,1,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-07-27,24.705701866977783,48.42741166549753,34.7131303501947,31.832029599659215,8.172770494126125,1.194244415116463,60,CO,7,4,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-04-26,28.963936373813947,47.26376907299233,18.633979803415947,30.194335128054735,7.099510361720467,1.098672070236227,55,CO,4,2,0,0,0,0,1,0,multivariate_gaussian_copula_clean_air_v2
2025-06-17,27.187257819994695,48.23797763699787,20.76002041927292,8.707690094834446,4.2577284623603795,0.9639487729663367,48,PM10,6,3,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-06-09,23.88194277926323,36.82342819349349,40.438330300155954,22.92711128974457,3.9826726267285406,0.7178346491528671,40,O3,6,0,0,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
2025-05-20,21.789099604877812,34.04564896669173,43.446498001721025,23.31548112400328,13.298924241471532,0.9797770184904281,49,CO,5,1,0,0,0,0,1,0,multivariate_gaussian_copula_clean_air_v2
2025-08-17,6.861191681431206,13.05997904107513,43.42641495833317,17.214101308888544,10.87668155509465,1.1854434460307481,59,CO,8,6,1,0,1,0,0,0,multivariate_gaussian_copula_clean_air_v2
