Date,pm2.5,pm10,O3,NO2,SO2,co,AQI,Dominant_Pollutant,Month,DayOfWeek,IsWeekend,season_Autumn,season_Monsoon,season_Spring,season_Summer,season_Winter
2015-01-01,165.0,92.0,3.0,20.0,7.0,13.0,335,pm2.5,1,3,0,0,0,0,0,1
2015-01-02,165.0,70.0,4.333333333333333,18.5,7.0,12.0,335,pm2.5,1,4,0,0,0,0,0,1
2015-01-08,165.0,79.0,5.666666666666666,17.0,7.0,11.0,335,pm2.5,1,3,0,0,0,0,0,1
2015-01-16,165.0,88.0,7.0,24.0,7.0,11.0,335,pm2.5,1,4,0,0,0,0,0,1
2015-01-17,165.0,97.0,8.5,22.5,7.0,10.0,335,pm2.5,1,5,1,0,0,0,0,1
2015-01-27,165.0,94.5,10.0,21.0,7.0,9.0,335,pm2.5,1,1,0,0,0,0,0,1
2015-01-28,165.0,92.0,8.0,21.0,7.0,10.0,335,pm2.5,1,2,0,0,0,0,0,1
2015-01-29,165.0,114.0,8.0,21.0,7.0,10.0,335,pm2.5,1,3,0,0,0,0,0,1
2015-02-13,165.0,126.5,10.0,21.0,7.0,8.0,335,pm2.5,2,4,0,0,0,1,0,0
2015-02-14,165.0,99.0,13.0,21.0,7.0,10.0,335,pm2.5,2,5,1,0,0,1,0,0
2015-02-15,165.0,166.66666666666669,16.0,21.0,7.0,12.0,335,pm2.5,2,6,1,0,0,1,0,0
2015-02-17,165.0,234.33333333333331,2.0,29.0,7.0,35.0,403,co,2,1,0,0,0,1,0,0
2015-02-18,165.0,302.0,14.0,19.0,7.0,12.0,335,pm2.5,2,2,0,0,0,1,0,0
2015-02-19,165.0,148.0,13.0,21.0,7.0,13.0,335,pm2.5,2,3,0,0,0,1,0,0
2015-02-20,165.0,157.0,12.0,21.5,7.0,12.5,335,pm2.5,2,4,0,0,0,1,0,0
2015-02-21,165.0,163.33333333333334,1.0,21.33333333333333,7.0,10.666666666666666,335,pm2.5,2,5,1,0,0,1,0,0
2015-02-22,165.0,111.0,11.0,22.0,7.0,12.0,335,pm2.5,2,6,1,0,0,1,0,0
2015-02-23,165.0,188.0,6.0,21.666666666666668,7.0,11.333333333333334,335,pm2.5,2,0,0,0,0,1,0,0
2015-02-26,165.0,138.66666666666666,13.0,21.0,7.0,10.0,335,pm2.5,2,3,0,0,0,1,0,0
2015-02-27,165.0,114.0,8.0,20.5,7.0,11.5,335,pm2.5,2,4,0,0,0,1,0,0
2015-03-01,165.0,84.0,8.0,19.0,7.0,9.0,335,pm2.5,3,6,1,0,0,1,0,0
2015-03-02,165.0,36.0,11.0,16.0,7.0,8.0,335,pm2.5,3,0,0,0,0,1,0,0
2015-03-03,165.0,100.0,13.0,13.0,7.0,5.0,335,pm2.5,3,1,0,0,0,1,0,0
2015-03-04,165.0,45.0,9.0,21.0,7.0,10.0,335,pm2.5,3,2,0,0,0,1,0,0
2015-03-05,165.0,42.0,12.333333333333334,17.0,7.0,6.5,335,pm2.5,3,3,0,0,0,1,0,0
2015-03-10,165.0,39.0,15.666666666666668,13.0,7.0,3.0,335,pm2.5,3,1,0,0,0,1,0,0
2015-03-11,165.0,36.0,19.0,15.0,7.0,7.0,335,pm2.5,3,2,0,0,0,1,0,0
2015-03-12,165.0,51.0,14.5,21.5,7.0,9.0,335,pm2.5,3,3,0,0,0,1,0,0
2015-03-16,165.0,50.5,10.0,28.0,7.0,11.0,335,pm2.5,3,0,0,0,0,1,0,0
2015-03-17,165.0,50.0,10.0,22.0,7.0,8.0,335,pm2.5,3,1,0,0,0,1,0,0
2015-03-18,165.0,51.0,12.0,23.75,7.0,11.0,335,pm2.5,3,2,0,0,0,1,0,0
2015-03-19,165.0,61.0,7.0,25.5,7.0,15.0,335,pm2.5,3,3,0,0,0,1,0,0
2015-03-20,165.0,92.0,4.5,27.25,7.0,21.5,335,pm2.5,3,4,0,0,0,1,0,0
2015-03-22,165.0,87.0,2.0,29.0,7.0,28.0,365,co,3,6,1,0,0,1,0,0
2015-03-23,165.0,82.0,31.0,30.75,7.0,27.0,359,co,3,0,0,0,0,1,0,0
2015-03-24,165.0,72.0,37.0,32.5,7.0,29.0,371,co,3,1,0,0,0,1,0,0
2015-03-25,165.0,85.0,27.0,34.25,7.0,33.0,394,co,3,2,0,0,0,1,0,0
2015-03-26,165.0,86.0,33.0,36.0,7.0,24.0,341,co,3,3,0,0,0,1,0,0
2015-03-27,165.0,79.0,19.5,29.0,7.0,17.5,335,pm2.5,3,4,0,0,0,1,0,0
2015-03-29,165.0,62.5,6.0,22.0,7.0,11.0,335,pm2.5,3,6,1,0,0,1,0,0
2015-03-30,165.0,46.0,6.0,24.0,7.0,14.0,335,pm2.5,3,0,0,0,0,1,0,0
2015-03-31,165.0,154.0,6.0,26.0,7.0,20.0,335,pm2.5,3,1,0,0,0,1,0,0
2015-04-01,165.0,55.0,6.0,26.0,7.0,20.0,335,pm2.5,4,2,0,0,0,0,1,0
